,komentar,score,value,,jika score,maka,,,,,,komentar,score,value
1214,Ini apk apa bukannya membantu tapi malah bikin susah anak indonesia udh gitu banyak bug lagi udh hapus saja negara Cina ganti jadi negara kpoprs,1,NEGATIVE,,,,,,,,1214,Ini apk apa bukannya membantu tapi malah bikin susah anak indonesia udh gitu banyak bug lagi udh hapus saja negara Cina ganti jadi negara kpoprs,1,NEGATIVE
1215,Kenapa ya tadi saat saya buka aplikasinya keluar terus dan ada tulisan classrom terus berhenti padahal saya lagi ngerjain tugas 🙏,4,POSITIVE,,,,,,,,1215,Kenapa ya tadi saat saya buka aplikasinya keluar terus dan ada tulisan classrom terus berhenti padahal saya lagi ngerjain tugas 🙏,4,POSITIVE
1216,"min tolong perbaiki bug yang mereshkan min, stiap bngun tidur sya nylain wifi nh ters ada notif tugas dri gc jdi mnurutku bug itu meresahkan sekali min, tlong di prbaiki ya krna itu mngganggu pagiku yang indah",2,NEGATIVE,,,,,,,,1216,"min tolong perbaiki bug yang mereshkan min, stiap bngun tidur sya nylain wifi nh ters ada notif tugas dri gc jdi mnurutku bug itu meresahkan sekali min, tlong di prbaiki ya krna itu mngganggu pagiku yang indah",2,NEGATIVE
1217,Maaf developer saya kasih bintang 1 krn aplikasi ini bikin guru saya ngebuat tugas terus,1,NEGATIVE,,,,,,,,1217,Maaf developer saya kasih bintang 1 krn aplikasi ini bikin guru saya ngebuat tugas terus,1,NEGATIVE
1218,Tombol serahkannya sering ngebug,2,NEGATIVE,,,,,,,,1218,Tombol serahkannya sering ngebug,2,NEGATIVE
1219,Aplikasi bagusssssssssssssss!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! . . . . . . . Aplikasi bagus buat otak gblk,1,NEGATIVE,,,,,,,,1219,Aplikasi bagusssssssssssssss!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! . . . . . . . Aplikasi bagus buat otak gblk,1,NEGATIVE
1220,Ini lagi bermasalah ya? kok banyak tugas yang tidak bisa di kirimkan?,1,NEGATIVE,,,,,,,,1220,Ini lagi bermasalah ya? kok banyak tugas yang tidak bisa di kirimkan?,1,NEGATIVE
1221,"Ini kenapa ya kok pas mau ngirim tugas loadingnya lama sekali, padahal jaringan udah bagus, tolong segera di perbaiki, trimakasih",1,NEGATIVE,,,,,,,,1221,"Ini kenapa ya kok pas mau ngirim tugas loadingnya lama sekali, padahal jaringan udah bagus, tolong segera di perbaiki, trimakasih",1,NEGATIVE
1222,Aplikasi ngebug!!! Di aku kok banyak banget tugasnya!! Lebih banyak dari iklan!!!!!,1,NEGATIVE,,,,,,,,1222,Aplikasi ngebug!!! Di aku kok banyak banget tugasnya!! Lebih banyak dari iklan!!!!!,1,NEGATIVE
1223,Mohon untuk aplikasi ini di hapus ya karena meresahkan😥😥,1,NEGATIVE,,,,,,,,1223,Mohon untuk aplikasi ini di hapus ya karena meresahkan😥😥,1,NEGATIVE
1224,"Mmf ngasih bintang nya segini bukanya apa apa sehabis di update apk nya jadi lemot banget padahal jaringan saya bagus banget, tolong kembalikan menjadi server yang dulu.",1,NEGATIVE,,,,,,,,1224,"Mmf ngasih bintang nya segini bukanya apa apa sehabis di update apk nya jadi lemot banget padahal jaringan saya bagus banget, tolong kembalikan menjadi server yang dulu.",1,NEGATIVE
1225,"Woy bangke kenapa gw ngga bisa masuk gc,,dari tadi muter² trus,,tolong dong di perbaiki,,GW MASIH PUNYA DATA",1,NEGATIVE,,,,,,,,1225,"Woy bangke kenapa gw ngga bisa masuk gc,,dari tadi muter² trus,,tolong dong di perbaiki,,GW MASIH PUNYA DATA",1,NEGATIVE
1226,aplk kntl manis ;),1,NEGATIVE,,,,,,,,1226,aplk kntl manis ;),1,NEGATIVE
1227,"Kadang gk bisa ngirim tugas alhasil nilai saya 0 padahal udh cape cape nulis tugas eh gk bisa ngirim,classroom gk guna🖕🖕🖕🖕🖕🖕🖕🖕",1,NEGATIVE,,,,,,,,1227,"Kadang gk bisa ngirim tugas alhasil nilai saya 0 padahal udh cape cape nulis tugas eh gk bisa ngirim,classroom gk guna🖕🖕🖕🖕🖕🖕🖕🖕",1,NEGATIVE
1228,"Ketika mengirim tugas loading selalu lama, mohon di perbaiki, ini sudah terjadi sejak tahun lalu.",1,NEGATIVE,,,,,,,,1228,"Ketika mengirim tugas loading selalu lama, mohon di perbaiki, ini sudah terjadi sejak tahun lalu.",1,NEGATIVE
1229,"bagus karena memudahkan sarana belajar mengajar secara online apalagi untuk mengumpulkan tugas,lebih diperbagus Google 👏🏼",5,POSITIVE,,,,,,,,1229,"bagus karena memudahkan sarana belajar mengajar secara online apalagi untuk mengumpulkan tugas,lebih diperbagus Google 👏🏼",5,POSITIVE
1230,"Mohon ditingkatkan layanan donk, susah sekali invite pengajar??? Berulang ulang gaknmasuk2 notifikasi",2,NEGATIVE,,,,,,,,1230,"Mohon ditingkatkan layanan donk, susah sekali invite pengajar??? Berulang ulang gaknmasuk2 notifikasi",2,NEGATIVE
1231,"membantu dalam pembelajaran daring seperti sekarang, sedikit saran tolong ditambahkan dong tulisan terlambat diserahkan itu misal 2 atau 5 menit, soalnya aku pernah terlambat ngumpulin 2 menitan karena jaringan, tulisannya langsung terlambat diserahkan kaya gitu aja😀🙏",5,POSITIVE,,,,,,,,1231,"membantu dalam pembelajaran daring seperti sekarang, sedikit saran tolong ditambahkan dong tulisan terlambat diserahkan itu misal 2 atau 5 menit, soalnya aku pernah terlambat ngumpulin 2 menitan karena jaringan, tulisannya langsung terlambat diserahkan kaya gitu aja😀🙏",5,POSITIVE
1232,Sangat timdak keren👎🙄👎,1,NEGATIVE,,,,,,,,1232,Sangat timdak keren👎🙄👎,1,NEGATIVE
1233,Aryo Senin 2 Agustus 2021 covid 19 belum membaik dan masih belajar di rumah semangat buat yang lagi berjuang di tengah pandemi,5,POSITIVE,,,,,,,,1233,Aryo Senin 2 Agustus 2021 covid 19 belum membaik dan masih belajar di rumah semangat buat yang lagi berjuang di tengah pandemi,5,POSITIVE
1234,Apk sangat berguna !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,5,POSITIVE,,,,,,,,1234,Apk sangat berguna !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,5,POSITIVE
1235,Bagus bangettt!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! Tapi boong,1,NEGATIVE,,,,,,,,1235,Bagus bangettt!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! Tapi boong,1,NEGATIVE
1236,Terimakasihsyukurselamalamanyaseterusterusterusnyaterusterusseterusterusterusnyaolehuntuksemuakorbanjahathathathathathathathathathathathathathathathathathathathathathathathathathathathathathathathathathathathathathathathatyangselamalamanyasampaiseterusterusterusnyaterusterusterusseterusterusterusnyaterusterusterusseterusterusterusnyaterusterusterusseterusterusterusterusterusnyaterusterusterusseterusterusterusterusnyaterusterusterusseterusterusterusterusnyaterusterusterustolakakanitusmuahmuahnya,5,POSITIVE,,,,,,,,1236,Terimakasihsyukurselamalamanyaseterusterusterusnyaterusterusseterusterusterusnyaolehuntuksemuakorbanjahathathathathathathathathathathathathathathathathathathathathathathathathathathathathathathathathathathathathathathathatyangselamalamanyasampaiseterusterusterusnyaterusterusterusseterusterusterusnyaterusterusterusseterusterusterusnyaterusterusterusseterusterusterusterusterusnyaterusterusterusseterusterusterusterusnyaterusterusterusseterusterusterusterusnyaterusterusterustolakakanitusmuahmuahnya,5,POSITIVE
1237,diperbarui malah gabisa buka file/lampiran. sampah:)),1,NEGATIVE,,,,,,,,1237,diperbarui malah gabisa buka file/lampiran. sampah:)),1,NEGATIVE
1238,"Gara gara tombol turn in belum dipencet saya telat mengumpulkan tugas, tanggung jawab heh :)🔪",1,NEGATIVE,,,,,,,,1238,"Gara gara tombol turn in belum dipencet saya telat mengumpulkan tugas, tanggung jawab heh :)🔪",1,NEGATIVE
1239,"thanks google classroom, sangat membantu untuk pembelajaran jarak jauh ☺️ y walaupun kadang bikin jidat jadi puyeng krn mikirin tugas 😒",5,POSITIVE,,,,,,,,1239,"thanks google classroom, sangat membantu untuk pembelajaran jarak jauh ☺️ y walaupun kadang bikin jidat jadi puyeng krn mikirin tugas 😒",5,POSITIVE
1240,"Weh kawan baca ini,aplikasi banyak bug,dah ngirim malah nambah banyak😑",1,NEGATIVE,,,,,,,,1240,"Weh kawan baca ini,aplikasi banyak bug,dah ngirim malah nambah banyak😑",1,NEGATIVE
1241,"Masa udah ngeluarin data 3 kali lipat dari filenya tapi filenya masih belum kekirim, jadi telat kan tolong diperbaiki secepatnya",2,NEGATIVE,,,,,,,,1241,"Masa udah ngeluarin data 3 kali lipat dari filenya tapi filenya masih belum kekirim, jadi telat kan tolong diperbaiki secepatnya",2,NEGATIVE
1242,Bikin TUGAS NUMPUK,1,NEGATIVE,,,,,,,,1242,Bikin TUGAS NUMPUK,1,NEGATIVE
1243,"Kebanyakan BUG cok,Lagi enak enak Nyantai muncul notif haram Sampe disuruh GM tolong perbaiki bugnya ini sangat meresahkan sekali eperbadi hampir lupa login ff cok",1,NEGATIVE,,,,,,,,1243,"Kebanyakan BUG cok,Lagi enak enak Nyantai muncul notif haram Sampe disuruh GM tolong perbaiki bugnya ini sangat meresahkan sekali eperbadi hampir lupa login ff cok",1,NEGATIVE
1244,"Tolonglah, perenakin cara edit jawaban dan tiap kali ngedit kenapa selalu kerestart.. padahal tinggal sedikit.",2,NEGATIVE,,,,,,,,1244,"Tolonglah, perenakin cara edit jawaban dan tiap kali ngedit kenapa selalu kerestart.. padahal tinggal sedikit.",2,NEGATIVE
1245,"Gara gara aplikasi ini saya jadi stres, entah kenapa hp saya jadi nge lag terus menerus, saya baru bangun tiba"" dispam tugas, mohon segera cepat dihapus aplikasinya👍🏻",1,NEGATIVE,,,,,,,,1245,"Gara gara aplikasi ini saya jadi stres, entah kenapa hp saya jadi nge lag terus menerus, saya baru bangun tiba"" dispam tugas, mohon segera cepat dihapus aplikasinya👍🏻",1,NEGATIVE
1246,"Ga suka, soalnya baru aja melek dh ada notif tugas tolong segera diperbaiki",1,NEGATIVE,,,,,,,,1246,"Ga suka, soalnya baru aja melek dh ada notif tugas tolong segera diperbaiki",1,NEGATIVE
1247,Tolong notifikasi udah di aktifkan semua maupun classroom udh dinyalain notifnya tapi tetep aja gak ada notif dari grup,4,POSITIVE,,,,,,,,1247,Tolong notifikasi udah di aktifkan semua maupun classroom udh dinyalain notifnya tapi tetep aja gak ada notif dari grup,4,POSITIVE
1248,"Masuk nya susha bener ,,tolong diperbaiki jangan cuma update,tidak ada tangung jawab!!!!",1,NEGATIVE,,,,,,,,1248,"Masuk nya susha bener ,,tolong diperbaiki jangan cuma update,tidak ada tangung jawab!!!!",1,NEGATIVE
1249,Bagus sekali untuk media pembelajaran daring karena bisa dikombinasikan dengan berbagai aplikasi daring yang lain....,5,POSITIVE,,,,,,,,1249,Bagus sekali untuk media pembelajaran daring karena bisa dikombinasikan dengan berbagai aplikasi daring yang lain....,5,POSITIVE
1250,Aplikasi Banyak BuG tolong ya Bug nya di bereskan Soal nya bug nya itu guru biar bisa kasih tugas Nah Bug guru kasih tugas itu Di Fiks dulu ya,1,NEGATIVE,,,,,,,,1250,Aplikasi Banyak BuG tolong ya Bug nya di bereskan Soal nya bug nya itu guru biar bisa kasih tugas Nah Bug guru kasih tugas itu Di Fiks dulu ya,1,NEGATIVE
1251,Minta tolong dong pisahin tugas kemarin sama tugas hari² kalo numpuk jadi bingung mana tugas kemarin SM tugas hari ini kalo bisa tugas yg udh dikerjakan di kasih tanda ceklis atau apalah biar g bingung🙏,4,POSITIVE,,,,,,,,1251,Minta tolong dong pisahin tugas kemarin sama tugas hari² kalo numpuk jadi bingung mana tugas kemarin SM tugas hari ini kalo bisa tugas yg udh dikerjakan di kasih tanda ceklis atau apalah biar g bingung🙏,4,POSITIVE
1252,"Ini knp lagi ini, saya sudah 3 hari tidak bisa mengumpulkan tugas ""Anda tidak dapat mengirim tugas saat ini"" mohon pencerahannya",1,NEGATIVE,,,,,,,,1252,"Ini knp lagi ini, saya sudah 3 hari tidak bisa mengumpulkan tugas ""Anda tidak dapat mengirim tugas saat ini"" mohon pencerahannya",1,NEGATIVE
1253,Setiap aku mau istirahat selalu ad bug bug yg tidak di inginkan Mohon bug nya di perbaiki agar para guru tidak mengirim tugas,1,NEGATIVE,,,,,,,,1253,Setiap aku mau istirahat selalu ad bug bug yg tidak di inginkan Mohon bug nya di perbaiki agar para guru tidak mengirim tugas,1,NEGATIVE
1254,Plislah buat pihak classroom.setiap pagi ada notifikasi tugas !!!!!!! Mohon diberpaiki bugnya,2,NEGATIVE,,,,,,,,1254,Plislah buat pihak classroom.setiap pagi ada notifikasi tugas !!!!!!! Mohon diberpaiki bugnya,2,NEGATIVE
1255,"Selalu error kalau kirim tugas, lama aplgi foto/video bisa 30 menit -_-",1,NEGATIVE,,,,,,,,1255,"Selalu error kalau kirim tugas, lama aplgi foto/video bisa 30 menit -_-",1,NEGATIVE
1256,guaa mo ngirim tugas woy ko gabisaa,1,NEGATIVE,,,,,,,,1256,guaa mo ngirim tugas woy ko gabisaa,1,NEGATIVE
1257,"Menghina ae bgst usaha orang malah lu hina, kalo gua tanya pun ""lu bisa ga bikin aplikasinya?"" nah biasanya kalo gua nanya kek gini pasti ada dua makhluk yang jawabannya ada yang banyak bacot dan ada yang diem ae, nah kalo udah kaya gitu biasanya yang banyak bacot duluan yang ga bisa terima, jadinya kalian para makhluk bumi bersukur karena kalo ga ada google class lu sekolah pakek apaan, kan juga yang update aplikasi nya manusia dia pasti lelah karena urusan yang lain, jdinya jan bnyk bcd bgst",5,POSITIVE,,,,,,,,1257,"Menghina ae bgst usaha orang malah lu hina, kalo gua tanya pun ""lu bisa ga bikin aplikasinya?"" nah biasanya kalo gua nanya kek gini pasti ada dua makhluk yang jawabannya ada yang banyak bacot dan ada yang diem ae, nah kalo udah kaya gitu biasanya yang banyak bacot duluan yang ga bisa terima, jadinya kalian para makhluk bumi bersukur karena kalo ga ada google class lu sekolah pakek apaan, kan juga yang update aplikasi nya manusia dia pasti lelah karena urusan yang lain, jdinya jan bnyk bcd bgst",5,POSITIVE
1258,"Kenapa gak bisa salin link ya, malah linknya berubah jadi bentuk lampiran aslinya(bentuk video) jadi gabisa ngirim, krna memo penerima penuh",5,POSITIVE,,,,,,,,1258,"Kenapa gak bisa salin link ya, malah linknya berubah jadi bentuk lampiran aslinya(bentuk video) jadi gabisa ngirim, krna memo penerima penuh",5,POSITIVE
1259,Saya beri bintang 2 dulu karna apk nya horor saya sedang asik makan tiba tiba ada notif tugas sangat horor sampai keselek saya di buat nya,2,NEGATIVE,,,,,,,,1259,Saya beri bintang 2 dulu karna apk nya horor saya sedang asik makan tiba tiba ada notif tugas sangat horor sampai keselek saya di buat nya,2,NEGATIVE
1260,"Kenapa ya? Kok saya gak bisa akses kelas? Tolong dong diperbaiki, tugas saya banyak yang numpuk",2,NEGATIVE,,,,,,,,1260,"Kenapa ya? Kok saya gak bisa akses kelas? Tolong dong diperbaiki, tugas saya banyak yang numpuk",2,NEGATIVE
1261,"wow !! tadinya aku sering bangun siang. karena apk ini aku jadi sering bangun pagi, terimakasih",1,NEGATIVE,,,,,,,,1261,"wow !! tadinya aku sering bangun siang. karena apk ini aku jadi sering bangun pagi, terimakasih",1,NEGATIVE
1262,NAPA PAS SAYA SEDANG MAEN PUBG MALAH ADA NOTIF TUGAS DARI APK INI BUG MERESAHKAN AJG !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!APA LIAT LIAT,1,NEGATIVE,,,,,,,,1262,NAPA PAS SAYA SEDANG MAEN PUBG MALAH ADA NOTIF TUGAS DARI APK INI BUG MERESAHKAN AJG !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!APA LIAT LIAT,1,NEGATIVE
1263,"Perbarui dong , masak kirim video yang ukuran nya cuma 36mb Sampek 1 jam WA aja 5 menit bisa masak classroom gak bisa. Payahh",2,NEGATIVE,,,,,,,,1263,"Perbarui dong , masak kirim video yang ukuran nya cuma 36mb Sampek 1 jam WA aja 5 menit bisa masak classroom gak bisa. Payahh",2,NEGATIVE
1264,Ini kenapa ya setiap hari kok ada notifikasi tugas ya? Aneh banget,1,NEGATIVE,,,,,,,,1264,Ini kenapa ya setiap hari kok ada notifikasi tugas ya? Aneh banget,1,NEGATIVE
1265,Ngirim tugas terlalu lama bahkan bisa memakan waktu 15 menit lebih padahal kecepatan inet bagus padahal cuman ngirim file kisaran 30mb,1,NEGATIVE,,,,,,,,1265,Ngirim tugas terlalu lama bahkan bisa memakan waktu 15 menit lebih padahal kecepatan inet bagus padahal cuman ngirim file kisaran 30mb,1,NEGATIVE
1266,"upload tugas lama sekali, padahal internet lancar dan tak bisa upload secara banyak, bikin orang terlambat saja",1,NEGATIVE,,,,,,,,1266,"upload tugas lama sekali, padahal internet lancar dan tak bisa upload secara banyak, bikin orang terlambat saja",1,NEGATIVE
1267,Tolong beritahu saya kenapa classroom saya tidak muncul notifikasi nya ??,2,NEGATIVE,,,,,,,,1267,Tolong beritahu saya kenapa classroom saya tidak muncul notifikasi nya ??,2,NEGATIVE
1268,"Terdapat Bug. Sedang Santai Tiba Tiba Di Spam Tugas, Tolong Di Perbaiki",1,NEGATIVE,,,,,,,,1268,"Terdapat Bug. Sedang Santai Tiba Tiba Di Spam Tugas, Tolong Di Perbaiki",1,NEGATIVE
1269,"aplikasi nya aneh kenapa selalu muncul notif tugas, mohon di fix lagi",4,POSITIVE,,,,,,,,1269,"aplikasi nya aneh kenapa selalu muncul notif tugas, mohon di fix lagi",4,POSITIVE
1270,Di perbarui bukan makin bagus eh malah makin burik habis update malah ada bug bugnya tugas gk masuk(padahal teman saya banyak yang sudah) mengirim tugas vidio sampe 2 jam gk kekirim² tolong perbaiki bugnya,1,NEGATIVE,,,,,,,,1270,Di perbarui bukan makin bagus eh malah makin burik habis update malah ada bug bugnya tugas gk masuk(padahal teman saya banyak yang sudah) mengirim tugas vidio sampe 2 jam gk kekirim² tolong perbaiki bugnya,1,NEGATIVE
1271,Aplikasi ini jelek !!!!!!!!!!!!!!!!!!!!!¡!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!¡!!!!!!!!!!!!!!!!!!!!!!!!!!!tapi boong,1,NEGATIVE,,,,,,,,1271,Aplikasi ini jelek !!!!!!!!!!!!!!!!!!!!!¡!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!¡!!!!!!!!!!!!!!!!!!!!!!!!!!!tapi boong,1,NEGATIVE
1272,Manjur...sdh sgt bagus utk menjadi aplikasi standar pembelajaran online. Terima kasih Google..👍🙏,5,POSITIVE,,,,,,,,1272,Manjur...sdh sgt bagus utk menjadi aplikasi standar pembelajaran online. Terima kasih Google..👍🙏,5,POSITIVE
1273,"Saat mengirim tugas lama sekali padahal cuman bentuk foto,nggak kebayang kalo guru ngasih tugas video ntah berapa abad baru terkirim",1,NEGATIVE,,,,,,,,1273,"Saat mengirim tugas lama sekali padahal cuman bentuk foto,nggak kebayang kalo guru ngasih tugas video ntah berapa abad baru terkirim",1,NEGATIVE
1274,Tolong diperbaiki karna setiap ingin mengirimkan foto atau video itu lemotnya minta ampun dan kalo membuka file yg dikirim guru itu loading mulu jadi tolong diperbaiki ok sekian,1,NEGATIVE,,,,,,,,1274,Tolong diperbaiki karna setiap ingin mengirimkan foto atau video itu lemotnya minta ampun dan kalo membuka file yg dikirim guru itu loading mulu jadi tolong diperbaiki ok sekian,1,NEGATIVE
1275,"Apk buruk!, karena telah menghambat waktu rebahan dan main saya.. 😡, setiap pagi selalu muncul notifikasi yg membuat saya pusing.. 😡😤",1,NEGATIVE,,,,,,,,1275,"Apk buruk!, karena telah menghambat waktu rebahan dan main saya.. 😡, setiap pagi selalu muncul notifikasi yg membuat saya pusing.. 😡😤",1,NEGATIVE
1276,Ini knp ya kok saya lagi enak² tidur tiba² ting tung ting setelah itu sya stres,1,NEGATIVE,,,,,,,,1276,Ini knp ya kok saya lagi enak² tidur tiba² ting tung ting setelah itu sya stres,1,NEGATIVE
1277,"Min apknya masih banyak bug, tolong di perbaiki min soalnya saya lagi Santai-santai Tiba-tiba ada notip haram yg sangat mengganggu kehidupan saya",1,NEGATIVE,,,,,,,,1277,"Min apknya masih banyak bug, tolong di perbaiki min soalnya saya lagi Santai-santai Tiba-tiba ada notip haram yg sangat mengganggu kehidupan saya",1,NEGATIVE
